training_started_at,segment,epoch,role,rank,candidate_id,fitness,objective_j,distance_mm,valid,control_point_index,x_mm,y_mm,z_mm
20260824_115654,S5A,1,firehawk,1,firehawk_01,0.001133,882.493781,882.493781,1,1,0.000000,0.000000,0.000000
20260824_115654,S5A,1,firehawk,1,firehawk_01,0.001133,882.493781,882.493781,1,2,0.000000,0.000000,0.000000
20260824_115654,S5A,1,firehawk,1,firehawk_01,0.001133,882.493781,882.493781,1,3,0.817124,0.750871,0.000000
20260824_115654,S5A,1,firehawk,1,firehawk_01,0.001133,882.493781,882.493781,1,4,73.017619,67.097272,0.000000
20260824_115654,S5A,1,firehawk,1,firehawk_01,0.001133,882.493781,882.493781,1,5,145.218115,133.443673,0.000000
20260824_115654,S5A,1,firehawk,1,firehawk_01,0.001133,882.493781,882.493781,1,6,217.418610,199.790074,0.000000
20260824_115654,S5A,1,firehawk,1,firehawk_01,0.001133,882.493781,882.493781,1,7,289.619105,266.136475,0.000000
20260824_115654,S5A,1,firehawk,1,firehawk_01,0.001133,882.493781,882.493781,1,8,370.000000,340.000000,0.000000
20260824_115654,S5A,1,firehawk,2,firehawk_02,0.001110,900.550175,900.550175,1,1,0.000000,0.000000,8.326889
20260824_115654,S5A,1,firehawk,2,firehawk_02,0.001110,900.550175,900.550175,1,2,0.000000,0.000000,4.695430
20260824_115654,S5A,1,firehawk,2,firehawk_02,0.001110,900.550175,900.550175,1,3,0.000000,0.000000,14.041646
20260824_115654,S5A,1,firehawk,2,firehawk_02,0.001110,900.550175,900.550175,1,4,97.624025,47.065221,25.620632
20260824_115654,S5A,1,firehawk,2,firehawk_02,0.001110,900.550175,900.550175,1,5,145.816882,122.413550,3.285680
20260824_115654,S5A,1,firehawk,2,firehawk_02,0.001110,900.550175,900.550175,1,6,237.745573,186.023910,10.462753
20260824_115654,S5A,1,firehawk,2,firehawk_02,0.001110,900.550175,900.550175,1,7,271.048046,258.044621,0.000000
20260824_115654,S5A,1,firehawk,2,firehawk_02,0.001110,900.550175,900.550175,1,8,395.453533,338.517580,30.753829
20260824_115654,S5A,1,firehawk,3,firehawk_03,0.001031,970.113596,970.113596,1,1,38.993328,0.000000,0.000000
20260824_115654,S5A,1,firehawk,3,firehawk_03,0.001031,970.113596,970.113596,1,2,0.000000,0.000000,4.359415
20260824_115654,S5A,1,firehawk,3,firehawk_03,0.001031,970.113596,970.113596,1,3,39.536116,0.000000,14.587392
20260824_115654,S5A,1,firehawk,3,firehawk_03,0.001031,970.113596,970.113596,1,4,55.454791,70.902170,22.083583
20260824_115654,S5A,1,firehawk,3,firehawk_03,0.001031,970.113596,970.113596,1,5,133.492969,147.003882,41.527104
20260824_115654,S5A,1,firehawk,3,firehawk_03,0.001031,970.113596,970.113596,1,6,219.954829,247.803940,0.000000
20260824_115654,S5A,1,firehawk,3,firehawk_03,0.001031,970.113596,970.113596,1,7,296.976663,253.390406,0.000000
20260824_115654,S5A,1,firehawk,3,firehawk_03,0.001031,970.113596,970.113596,1,8,364.906712,334.617395,0.000000
20260824_115654,S5A,1,firehawk,4,firehawk_04,0.000001,1001020.036884,1020.036884,0,1,0.000000,0.000000,0.000000
20260824_115654,S5A,1,firehawk,4,firehawk_04,0.000001,1001020.036884,1020.036884,0,2,32.017993,0.000000,0.000000
20260824_115654,S5A,1,firehawk,4,firehawk_04,0.000001,1001020.036884,1020.036884,0,3,45.552772,0.000000,7.032476
20260824_115654,S5A,1,firehawk,4,firehawk_04,0.000001,1001020.036884,1020.036884,0,4,113.378757,41.907091,3.798205
20260824_115654,S5A,1,firehawk,4,firehawk_04,0.000001,1001020.036884,1020.036884,0,5,145.583790,124.049156,0.000000
20260824_115654,S5A,1,firehawk,4,firehawk_04,0.000001,1001020.036884,1020.036884,0,6,212.984242,212.100967,0.000000
20260824_115654,S5A,1,firehawk,4,firehawk_04,0.000001,1001020.036884,1020.036884,0,7,318.752986,261.044111,0.000000
20260824_115654,S5A,1,firehawk,4,firehawk_04,0.000001,1001020.036884,1020.036884,0,8,353.587002,327.449952,2.862940
20260824_115654,S5A,1,firehawk,5,firehawk_05,0.000001,1001130.253908,1130.253908,0,1,0.000000,0.000000,36.743833
20260824_115654,S5A,1,firehawk,5,firehawk_05,0.000001,1001130.253908,1130.253908,0,2,11.252929,19.987969,0.000000
