training_started_at,segment,epoch,role,rank,candidate_id,fitness,objective_j,distance_mm,valid,control_point_index,x_mm,y_mm,z_mm
20260824_115654,S6B,1,firehawk,1,firehawk_01,0.000999,1001.464344,1001.464344,1,1,370.000000,400.000000,0.000000
20260824_115654,S6B,1,firehawk,1,firehawk_01,0.000999,1001.464344,1001.464344,1,2,370.000000,400.000000,0.000000
20260824_115654,S6B,1,firehawk,1,firehawk_01,0.000999,1001.464344,1001.464344,1,3,356.059221,384.928888,0.000000
20260824_115654,S6B,1,firehawk,1,firehawk_01,0.000999,1001.464344,1001.464344,1,4,286.277449,309.489134,0.000000
20260824_115654,S6B,1,firehawk,1,firehawk_01,0.000999,1001.464344,1001.464344,1,5,216.495676,234.049380,0.000000
20260824_115654,S6B,1,firehawk,1,firehawk_01,0.000999,1001.464344,1001.464344,1,6,146.713904,158.609626,0.000000
20260824_115654,S6B,1,firehawk,1,firehawk_01,0.000999,1001.464344,1001.464344,1,7,76.932131,83.169872,0.000000
20260824_115654,S6B,1,firehawk,1,firehawk_01,0.000999,1001.464344,1001.464344,1,8,0.000000,0.000000,0.000000
20260824_115654,S6B,1,firehawk,2,firehawk_02,0.000900,1111.334102,1111.334102,1,1,406.981351,409.627363,24.460736
20260824_115654,S6B,1,firehawk,2,firehawk_02,0.000900,1111.334102,1111.334102,1,2,389.159060,371.849513,0.000000
20260824_115654,S6B,1,firehawk,2,firehawk_02,0.000900,1111.334102,1111.334102,1,3,359.870460,371.973486,14.486619
20260824_115654,S6B,1,firehawk,2,firehawk_02,0.000900,1111.334102,1111.334102,1,4,276.977018,274.877952,29.476015
20260824_115654,S6B,1,firehawk,2,firehawk_02,0.000900,1111.334102,1111.334102,1,5,207.558200,279.676080,18.218848
20260824_115654,S6B,1,firehawk,2,firehawk_02,0.000900,1111.334102,1111.334102,1,6,166.122307,151.686319,14.157039
20260824_115654,S6B,1,firehawk,2,firehawk_02,0.000900,1111.334102,1111.334102,1,7,64.349450,47.061377,0.000000
20260824_115654,S6B,1,firehawk,2,firehawk_02,0.000900,1111.334102,1111.334102,1,8,0.000000,5.150593,17.417096
20260824_115654,S6B,1,firehawk,3,firehawk_03,0.000885,1130.070054,1130.070054,1,1,351.224390,394.851428,38.124343
20260824_115654,S6B,1,firehawk,3,firehawk_03,0.000885,1130.070054,1130.070054,1,2,389.112518,367.638252,0.000000
20260824_115654,S6B,1,firehawk,3,firehawk_03,0.000885,1130.070054,1130.070054,1,3,365.382602,377.995424,0.000000
20260824_115654,S6B,1,firehawk,3,firehawk_03,0.000885,1130.070054,1130.070054,1,4,267.639210,311.431791,27.776951
20260824_115654,S6B,1,firehawk,3,firehawk_03,0.000885,1130.070054,1130.070054,1,5,223.359967,212.013463,0.000000
20260824_115654,S6B,1,firehawk,3,firehawk_03,0.000885,1130.070054,1130.070054,1,6,164.136073,114.406148,0.000000
20260824_115654,S6B,1,firehawk,3,firehawk_03,0.000885,1130.070054,1130.070054,1,7,82.470559,88.361594,0.000000
20260824_115654,S6B,1,firehawk,3,firehawk_03,0.000885,1130.070054,1130.070054,1,8,39.887476,0.000000,18.587182
20260824_115654,S6B,1,firehawk,4,firehawk_04,0.000835,1197.092787,1197.092787,1,1,375.709321,419.819859,34.529454
20260824_115654,S6B,1,firehawk,4,firehawk_04,0.000835,1197.092787,1197.092787,1,2,355.581998,388.460177,0.000000
20260824_115654,S6B,1,firehawk,4,firehawk_04,0.000835,1197.092787,1197.092787,1,3,351.426653,426.441949,0.000000
20260824_115654,S6B,1,firehawk,4,firehawk_04,0.000835,1197.092787,1197.092787,1,4,290.742108,325.912461,19.727725
20260824_115654,S6B,1,firehawk,4,firehawk_04,0.000835,1197.092787,1197.092787,1,5,171.498508,220.665027,0.000000
20260824_115654,S6B,1,firehawk,4,firehawk_04,0.000835,1197.092787,1197.092787,1,6,116.832508,127.828055,23.963269
20260824_115654,S6B,1,firehawk,4,firehawk_04,0.000835,1197.092787,1197.092787,1,7,85.236355,122.410142,0.000000
20260824_115654,S6B,1,firehawk,4,firehawk_04,0.000835,1197.092787,1197.092787,1,8,0.000000,28.249966,0.000000
20260824_115654,S6B,1,firehawk,5,firehawk_05,0.000835,1198.053222,1198.053222,1,1,385.894983,386.610862,25.751742
20260824_115654,S6B,1,firehawk,5,firehawk_05,0.000835,1198.053222,1198.053222,1,2,334.604021,413.428274,24.873680
20260824_115654,S6B,1,firehawk,5,firehawk_05,0.000835,1198.053222,1198.053222,1,3,356.184901,354.699681,0.000000
20260824_115654,S6B,1,firehawk,5,firehawk_05,0.000835,1198.053222,1198.053222,1,4,266.899605,328.791227,0.000000
20260824_115654,S6B,1,firehawk,5,firehawk_05,0.000835,1198.053222,1198.053222,1,5,217.905231,257.291777,4.874941
20260824_115654,S6B,1,firehawk,5,firehawk_05,0.000835,1198.053222,1198.053222,1,6,157.461423,147.658041,15.810356
20260824_115654,S6B,1,firehawk,5,firehawk_05,0.000835,1198.053222,1198.053222,1,7,80.221989,101.881272,0.000000
