file_log,waktu_dijalankan,waktu_selesai,selesai,status_eksekusi,status_log_asli,mode_siklus,durasi_detik,total_jarak_mm,jumlah_segmen_tercatat,jumlah_segmen_selesai,jumlah_segmen_tidak_selesai,status_segmen,indeks_segmen_tidak_selesai,data_error,detail_error_catatan
run_cycle_off_error_partial_20260826_104306_970540.csv,2026-08-26T10:43:06.970,2026-08-26T10:43:07.381,Tidak,Tidak selesai / error,error_partial,off,0.407273,0,1,0,1,no_segment_sent,0,Ya,error_partial; tidak ada segmen yang dikirim (no_segment_sent)
run_cycle_off_stopped_partial_20260826_104325_599048.csv,2026-08-26T10:43:25.599,2026-08-26T10:44:03.046,Tidak,Tidak selesai / dihentikan,stopped_partial,off,37.44767,190,1,0,1,queued_or_interrupted,1,Tidak,stopped_partial; 1 segmen belum selesai (segmen 1)
run_cycle_off_stopped_partial_20260826_104503_497249.csv,2026-08-26T10:45:03.497,2026-08-26T10:45:07.485,Tidak,Tidak selesai / dihentikan,stopped_partial,off,3.996416,190,1,0,1,queued_or_interrupted,1,Tidak,stopped_partial; 1 segmen belum selesai (segmen 1)
run_cycle_off_stopped_partial_20260826_104513_908365.csv,2026-08-26T10:45:13.908,2026-08-26T10:45:28.481,Tidak,Tidak selesai / dihentikan,stopped_partial,off,14.577774,190,1,0,1,queued_or_interrupted,1,Tidak,stopped_partial; 1 segmen belum selesai (segmen 1)
run_cycle_off_stopped_partial_20260826_104551_798595.csv,2026-08-26T10:45:51.798,2026-08-26T10:46:14.943,Tidak,Tidak selesai / dihentikan,stopped_partial,off,23.143,190,1,0,1,queued_or_interrupted,1,Tidak,stopped_partial; 1 segmen belum selesai (segmen 1)
run_cycle_off_stopped_partial_20260826_104645_067294.csv,2026-08-26T10:46:45.067,2026-08-26T10:47:04.344,Tidak,Tidak selesai / dihentikan,stopped_partial,off,19.275133,190,1,0,1,queued_or_interrupted,1,Tidak,stopped_partial; 1 segmen belum selesai (segmen 1)
run_cycle_off_stopped_partial_20260826_104746_913846.csv,2026-08-26T10:47:46.913,2026-08-26T10:48:06.751,Tidak,Tidak selesai / dihentikan,stopped_partial,off,19.837518,190,1,0,1,queued_or_interrupted,1,Tidak,stopped_partial; 1 segmen belum selesai (segmen 1)
run_cycle_off_stopped_partial_20260826_104828_545180.csv,2026-08-26T10:48:28.545,2026-08-26T10:48:40.649,Tidak,Tidak selesai / dihentikan,stopped_partial,off,12.102378,190,1,0,1,queued_or_interrupted,1,Tidak,stopped_partial; 1 segmen belum selesai (segmen 1)
run_cycle_off_stopped_partial_20260826_104850_238784.csv,2026-08-26T10:48:50.238,2026-08-26T10:49:05.164,Tidak,Tidak selesai / dihentikan,stopped_partial,off,14.923307,190,1,0,1,queued_or_interrupted,1,Tidak,stopped_partial; 1 segmen belum selesai (segmen 1)
run_cycle_off_stopped_partial_20260826_104920_579539.csv,2026-08-26T10:49:20.579,2026-08-26T10:49:32.398,Tidak,Tidak selesai / dihentikan,stopped_partial,off,11.824973,190,1,0,1,queued_or_interrupted,1,Tidak,stopped_partial; 1 segmen belum selesai (segmen 1)
