run_started_at,run_finished_at,run_status,cycle_mode,total_time_s,total_distance_mm,segment_index,queued_at,done_at,segment_status,pass_label,mode,action_label,start_x_mm,start_y_mm,start_z_mm,end_x_mm,end_y_mm,end_z_mm,dx_mm,dy_mm,dz_mm,distance_mm,arc_center_x_mm,arc_center_y_mm,arc_sweep_deg
2026-08-27T13:31:16.207,2026-08-27T13:32:13.402,stopped_partial,off,57.207685,2025.980166,1,2026-08-27T13:31:17.434,2026-08-27T13:31:22.077,done,awal,LINE,,0.000000,0.000000,0.000000,0.000000,0.000000,190.000000,0.000000,0.000000,190.000000,190.000000,,,
2026-08-27T13:31:16.207,2026-08-27T13:32:13.402,stopped_partial,off,57.207685,2025.980166,2,2026-08-27T13:31:22.214,2026-08-27T13:31:23.200,done,awal,ACTION_GOTO,DOWN,0.000000,0.000000,190.000000,0.000000,0.000000,215.000000,0.000000,0.000000,25.000000,25.000000,,,
2026-08-27T13:31:16.207,2026-08-27T13:32:13.402,stopped_partial,off,57.207685,2025.980166,3,2026-08-27T13:31:24.215,2026-08-27T13:31:25.213,done,awal,ACTION_GOTO,UP,0.000000,0.000000,215.000000,0.000000,0.000000,190.000000,0.000000,0.000000,-25.000000,25.000000,,,
2026-08-27T13:31:16.207,2026-08-27T13:32:13.402,stopped_partial,off,57.207685,2025.980166,4,2026-08-27T13:31:25.231,2026-08-27T13:31:37.763,done,awal,LINE,,0.000000,0.000000,190.000000,385.000000,105.000000,185.000000,385.000000,105.000000,-5.000000,399.092721,,,
2026-08-27T13:31:16.207,2026-08-27T13:32:13.402,stopped_partial,off,57.207685,2025.980166,5,2026-08-27T13:31:37.903,2026-08-27T13:31:38.807,done,awal,ACTION_GOTO,DOWN,385.000000,105.000000,185.000000,385.000000,105.000000,210.000000,0.000000,0.000000,25.000000,25.000000,,,
2026-08-27T13:31:16.207,2026-08-27T13:32:13.402,stopped_partial,off,57.207685,2025.980166,6,2026-08-27T13:31:39.835,2026-08-27T13:31:40.841,done,awal,ACTION_GOTO,UP,385.000000,105.000000,210.000000,385.000000,105.000000,185.000000,0.000000,0.000000,-25.000000,25.000000,,,
2026-08-27T13:31:16.207,2026-08-27T13:32:13.402,stopped_partial,off,57.207685,2025.980166,7,2026-08-27T13:31:40.849,2026-08-27T13:31:48.897,done,awal,LINE,,385.000000,105.000000,185.000000,0.000000,0.000000,190.000000,-385.000000,-105.000000,5.000000,399.092721,,,
2026-08-27T13:31:16.207,2026-08-27T13:32:13.402,stopped_partial,off,57.207685,2025.980166,8,2026-08-27T13:31:49.004,2026-08-27T13:31:49.856,done,awal,ACTION_GOTO,DOWN,0.000000,0.000000,190.000000,0.000000,0.000000,215.000000,0.000000,0.000000,25.000000,25.000000,,,
2026-08-27T13:31:16.207,2026-08-27T13:32:13.402,stopped_partial,off,57.207685,2025.980166,9,2026-08-27T13:31:50.865,2026-08-27T13:31:51.862,done,awal,ACTION_GOTO,UP,0.000000,0.000000,215.000000,0.000000,0.000000,190.000000,0.000000,0.000000,-25.000000,25.000000,,,
2026-08-27T13:31:16.207,2026-08-27T13:32:13.402,stopped_partial,off,57.207685,2025.980166,10,2026-08-27T13:31:51.873,2026-08-27T13:32:06.084,done,awal,LINE,,0.000000,0.000000,190.000000,385.000000,165.000000,185.000000,385.000000,165.000000,-5.000000,418.897362,,,
2026-08-27T13:31:16.207,2026-08-27T13:32:13.402,stopped_partial,off,57.207685,2025.980166,11,2026-08-27T13:32:06.215,2026-08-27T13:32:07.100,done,awal,ACTION_GOTO,DOWN,385.000000,165.000000,185.000000,385.000000,165.000000,210.000000,0.000000,0.000000,25.000000,25.000000,,,
2026-08-27T13:31:16.207,2026-08-27T13:32:13.402,stopped_partial,off,57.207685,2025.980166,12,2026-08-27T13:32:08.113,2026-08-27T13:32:09.260,done,awal,ACTION_GOTO,UP,385.000000,165.000000,210.000000,385.000000,165.000000,185.000000,0.000000,0.000000,-25.000000,25.000000,,,
2026-08-27T13:31:16.207,2026-08-27T13:32:13.402,stopped_partial,off,57.207685,2025.980166,13,2026-08-27T13:32:09.260,,queued_or_interrupted,awal,LINE,,385.000000,165.000000,185.000000,0.000000,0.000000,190.000000,-385.000000,-165.000000,5.000000,418.897362,,,
