format,version,record_type,group_index,point_index,action,x_mm,y_mm,z_mm,payload_json
segment_planner_bundle,2,META,,,,,,,"{""current_pos"":[0.0,0.0,0.0],""cycle_mode"":false,""is_optimasi_on"":false,""direct_sequence_mode"":true,""is_gripping"":false,""bottle_bottom"":null,""grip_point"":[0.0,0.0,195.0],""grip_action_point"":[0.0,0.0,220.0],""end_effector_visuals_visible"":false,""servo_grip_angle_deg"":30.0,""servo_release_angle_deg"":95.0,""speed_xy_mm_s"":[60.0,60.0,50.0],""z_deg_per_cm"":14.0,""pulse_per_cm_xy"":[2800.0,1400.0],""grip_release_z_offset"":25.0,""geometry_profile_version"":3,""gripper_size"":[220.0,60.0,34.0],""bottle_size"":[230.0,56.0,140.0],""gripper_bottle_overlap_z"":20.0}"
segment_planner_bundle,2,TRAJECTORY,,0,,0.000000,0.000000,0.000000,
segment_planner_bundle,2,TRAJECTORY,,1,,0.000000,0.000000,195.000000,
segment_planner_bundle,2,TRAJECTORY,,2,,370.000000,100.000000,185.000000,
segment_planner_bundle,2,TRAJECTORY,,3,,370.000000,160.000000,185.000000,
segment_planner_bundle,2,TRAJECTORY,,4,,370.000000,220.000000,185.000000,
segment_planner_bundle,2,TRAJECTORY,,5,,370.000000,280.000000,185.000000,
segment_planner_bundle,2,TRAJECTORY,,6,,370.000000,340.000000,185.000000,
segment_planner_bundle,2,TRAJECTORY,,7,,370.000000,400.000000,185.000000,
segment_planner_bundle,2,MAIN_WAYPOINT,,0,GRIP,0.000000,0.000000,195.000000,
segment_planner_bundle,2,MAIN_WAYPOINT,,1,RELEASE,370.000000,100.000000,185.000000,
segment_planner_bundle,2,MAIN_WAYPOINT,,2,RELEASE,370.000000,160.000000,185.000000,
segment_planner_bundle,2,MAIN_WAYPOINT,,3,RELEASE,370.000000,220.000000,185.000000,
segment_planner_bundle,2,MAIN_WAYPOINT,,4,RELEASE,370.000000,280.000000,185.000000,
segment_planner_bundle,2,MAIN_WAYPOINT,,5,RELEASE,370.000000,340.000000,185.000000,
segment_planner_bundle,2,MAIN_WAYPOINT,,6,RELEASE,370.000000,400.000000,185.000000,
segment_planner_bundle,2,GRIP_POINT,,0,,0.000000,0.000000,195.000000,
segment_planner_bundle,2,GRIP_ACTION_POINT,,0,,0.000000,0.000000,220.000000,
segment_planner_bundle,2,RELEASE_POINT,,0,,370.000000,100.000000,185.000000,
segment_planner_bundle,2,RELEASE_POINT,,1,,370.000000,160.000000,185.000000,
segment_planner_bundle,2,RELEASE_POINT,,2,,370.000000,220.000000,185.000000,
segment_planner_bundle,2,RELEASE_POINT,,3,,370.000000,280.000000,185.000000,
segment_planner_bundle,2,RELEASE_POINT,,4,,370.000000,340.000000,185.000000,
segment_planner_bundle,2,RELEASE_POINT,,5,,370.000000,400.000000,185.000000,
segment_planner_bundle,2,RELEASE_ACTION_POINT,,0,,370.000000,100.000000,210.000000,
segment_planner_bundle,2,RELEASE_ACTION_POINT,,1,,370.000000,160.000000,210.000000,
segment_planner_bundle,2,RELEASE_ACTION_POINT,,2,,370.000000,220.000000,210.000000,
segment_planner_bundle,2,RELEASE_ACTION_POINT,,3,,370.000000,280.000000,210.000000,
segment_planner_bundle,2,RELEASE_ACTION_POINT,,4,,370.000000,340.000000,210.000000,
segment_planner_bundle,2,RELEASE_ACTION_POINT,,5,,370.000000,400.000000,210.000000,
segment_planner_bundle,2,PLACED_BOTTLE,,0,,0.000000,0.000000,220.000000,
segment_planner_bundle,2,PLACED_BOTTLE,,1,,370.000000,100.000000,210.000000,
segment_planner_bundle,2,PLACED_BOTTLE,,2,,370.000000,160.000000,210.000000,
segment_planner_bundle,2,PLACED_BOTTLE,,3,,370.000000,220.000000,210.000000,
segment_planner_bundle,2,PLACED_BOTTLE,,4,,370.000000,280.000000,210.000000,
segment_planner_bundle,2,PLACED_BOTTLE,,5,,370.000000,340.000000,210.000000,
segment_planner_bundle,2,PLACED_BOTTLE,,6,,370.000000,400.000000,210.000000,
segment_planner_bundle,2,PLANNING,0,,GRIP,0.000000,0.000000,195.000000,"{""action_point"":[0.0,0.0,220.0]}"
segment_planner_bundle,2,PLANNING,1,,RELEASE,370.000000,100.000000,185.000000,"{""action_point"":[370.0,100.0,210.0]}"
segment_planner_bundle,2,PLANNING,2,,RELEASE,370.000000,160.000000,185.000000,"{""action_point"":[370.0,160.0,210.0]}"
segment_planner_bundle,2,PLANNING,3,,RELEASE,370.000000,220.000000,185.000000,"{""action_point"":[370.0,220.0,210.0]}"
segment_planner_bundle,2,PLANNING,4,,RELEASE,370.000000,280.000000,185.000000,"{""action_point"":[370.0,280.0,210.0]}"
segment_planner_bundle,2,PLANNING,5,,RELEASE,370.000000,340.000000,185.000000,"{""action_point"":[370.0,340.0,210.0]}"
segment_planner_bundle,2,PLANNING,6,,RELEASE,370.000000,400.000000,185.000000,"{""action_point"":[370.0,400.0,210.0]}"
