format,version,record_type,group_index,point_index,action,x_mm,y_mm,z_mm,payload_json
segment_planner_bundle,2,META,,,,,,,"{""current_pos"":[0.0,0.0,0.0],""cycle_mode"":false,""is_optimasi_on"":false,""direct_sequence_mode"":true,""is_gripping"":false,""bottle_bottom"":null,""grip_point"":[0.0,0.0,190.0],""grip_action_point"":[0.0,0.0,215.0],""end_effector_visuals_visible"":true,""servo_grip_angle_deg"":30.0,""servo_release_angle_deg"":95.0,""speed_xy_mm_s"":[60.0,60.0,120.0],""z_deg_per_cm"":14.0,""pulse_per_cm_xy"":[2800.0,1405.0],""grip_release_z_offset"":25.0,""geometry_profile_version"":3,""gripper_size"":[220.0,60.0,34.0],""bottle_size"":[230.0,56.0,140.0],""gripper_bottle_overlap_z"":20.0}"
segment_planner_bundle,2,TRAJECTORY,,0,,0,0,0,
segment_planner_bundle,2,TRAJECTORY,,1,,0,0,190,
segment_planner_bundle,2,TRAJECTORY,,2,,0,0,50,
segment_planner_bundle,2,TRAJECTORY,,3,,385,105,50,
segment_planner_bundle,2,TRAJECTORY,,4,,385,105,185,
segment_planner_bundle,2,TRAJECTORY,,5,,0,0,185,
segment_planner_bundle,2,TRAJECTORY,,6,,0,0,190,
segment_planner_bundle,2,TRAJECTORY,,7,,0,0,50,
segment_planner_bundle,2,TRAJECTORY,,8,,385,165,50,
segment_planner_bundle,2,TRAJECTORY,,9,,385,165,185,
segment_planner_bundle,2,TRAJECTORY,,10,,0,0,185,
segment_planner_bundle,2,TRAJECTORY,,11,,0,0,190,
segment_planner_bundle,2,TRAJECTORY,,12,,0,0,50,
segment_planner_bundle,2,TRAJECTORY,,13,,385,225,50,
segment_planner_bundle,2,TRAJECTORY,,14,,385,225,185,
segment_planner_bundle,2,TRAJECTORY,,15,,0,0,185,
segment_planner_bundle,2,TRAJECTORY,,16,,0,0,190,
segment_planner_bundle,2,TRAJECTORY,,17,,0,0,50,
segment_planner_bundle,2,TRAJECTORY,,18,,385,285,50,
segment_planner_bundle,2,TRAJECTORY,,19,,385,285,185,
segment_planner_bundle,2,TRAJECTORY,,20,,0,0,185,
segment_planner_bundle,2,TRAJECTORY,,21,,0,0,190,
segment_planner_bundle,2,TRAJECTORY,,22,,0,0,50,
segment_planner_bundle,2,TRAJECTORY,,23,,385,345,50,
segment_planner_bundle,2,TRAJECTORY,,24,,385,345,185,
segment_planner_bundle,2,TRAJECTORY,,25,,0,0,185,
segment_planner_bundle,2,TRAJECTORY,,26,,0,0,190,
segment_planner_bundle,2,TRAJECTORY,,27,,0,0,50,
segment_planner_bundle,2,TRAJECTORY,,28,,385,405,50,
segment_planner_bundle,2,TRAJECTORY,,29,,385,405,185,
segment_planner_bundle,2,MAIN_WAYPOINT,,0,GRIP,0,0,190,
segment_planner_bundle,2,MAIN_WAYPOINT,,1,,0,0,50,
segment_planner_bundle,2,MAIN_WAYPOINT,,2,,385,105,50,
segment_planner_bundle,2,MAIN_WAYPOINT,,3,RELEASE,385,105,185,
segment_planner_bundle,2,MAIN_WAYPOINT,,4,,0,0,185,
segment_planner_bundle,2,MAIN_WAYPOINT,,5,GRIP,0,0,190,
segment_planner_bundle,2,MAIN_WAYPOINT,,6,,0,0,50,
segment_planner_bundle,2,MAIN_WAYPOINT,,7,,385,165,50,
segment_planner_bundle,2,MAIN_WAYPOINT,,8,RELEASE,385,165,185,
segment_planner_bundle,2,MAIN_WAYPOINT,,9,,0,0,185,
segment_planner_bundle,2,MAIN_WAYPOINT,,10,GRIP,0,0,190,
segment_planner_bundle,2,MAIN_WAYPOINT,,11,,0,0,50,
segment_planner_bundle,2,MAIN_WAYPOINT,,12,,385,225,50,
segment_planner_bundle,2,MAIN_WAYPOINT,,13,RELEASE,385,225,185,
segment_planner_bundle,2,MAIN_WAYPOINT,,14,,0,0,185,
segment_planner_bundle,2,MAIN_WAYPOINT,,15,GRIP,0,0,190,
segment_planner_bundle,2,MAIN_WAYPOINT,,16,,0,0,50,
segment_planner_bundle,2,MAIN_WAYPOINT,,17,,385,285,50,
segment_planner_bundle,2,MAIN_WAYPOINT,,18,RELEASE,385,285,185,
segment_planner_bundle,2,MAIN_WAYPOINT,,19,,0,0,185,
segment_planner_bundle,2,MAIN_WAYPOINT,,20,GRIP,0,0,190,
segment_planner_bundle,2,MAIN_WAYPOINT,,21,,0,0,50,
segment_planner_bundle,2,MAIN_WAYPOINT,,22,,385,345,50,
segment_planner_bundle,2,MAIN_WAYPOINT,,23,RELEASE,385,345,185,
segment_planner_bundle,2,MAIN_WAYPOINT,,24,,0,0,185,
segment_planner_bundle,2,MAIN_WAYPOINT,,25,GRIP,0,0,190,
segment_planner_bundle,2,MAIN_WAYPOINT,,26,,0,0,50,
segment_planner_bundle,2,MAIN_WAYPOINT,,27,,385,405,50,
segment_planner_bundle,2,MAIN_WAYPOINT,,28,RELEASE,385,405,185,
segment_planner_bundle,2,EXTRA_WAYPOINT,,0,,0,0,50,
segment_planner_bundle,2,EXTRA_WAYPOINT,,1,,385,105,50,
segment_planner_bundle,2,EXTRA_WAYPOINT,,2,,0,0,185,
segment_planner_bundle,2,EXTRA_WAYPOINT,,3,,0,0,50,
segment_planner_bundle,2,EXTRA_WAYPOINT,,4,,390,165,50,
segment_planner_bundle,2,EXTRA_WAYPOINT,,5,,0,0,185,
segment_planner_bundle,2,EXTRA_WAYPOINT,,6,,0,0,50,
segment_planner_bundle,2,EXTRA_WAYPOINT,,7,,385,225,50,
segment_planner_bundle,2,EXTRA_WAYPOINT,,8,,0,0,185,
segment_planner_bundle,2,EXTRA_WAYPOINT,,9,,0,0,50,
segment_planner_bundle,2,EXTRA_WAYPOINT,,10,,385,285,50,
segment_planner_bundle,2,EXTRA_WAYPOINT,,11,,0,0,185,
segment_planner_bundle,2,EXTRA_WAYPOINT,,12,,0,0,50,
segment_planner_bundle,2,EXTRA_WAYPOINT,,13,,385,345,50,
segment_planner_bundle,2,EXTRA_WAYPOINT,,14,,0,0,185,
segment_planner_bundle,2,EXTRA_WAYPOINT,,15,,0,0,50,
segment_planner_bundle,2,EXTRA_WAYPOINT,,16,,385,405,50,
segment_planner_bundle,2,GRIP_POINT,,0,,0,0,190,
segment_planner_bundle,2,GRIP_POINT,,1,,0,0,190,
segment_planner_bundle,2,GRIP_POINT,,2,,0,0,190,
segment_planner_bundle,2,GRIP_POINT,,3,,0,0,190,
segment_planner_bundle,2,GRIP_POINT,,4,,0,0,190,
segment_planner_bundle,2,GRIP_POINT,,5,,0,0,190,
segment_planner_bundle,2,GRIP_ACTION_POINT,,0,,0,0,215,
segment_planner_bundle,2,GRIP_ACTION_POINT,,1,,0,0,215,
segment_planner_bundle,2,GRIP_ACTION_POINT,,2,,0,0,215,
segment_planner_bundle,2,GRIP_ACTION_POINT,,3,,0,0,215,
segment_planner_bundle,2,GRIP_ACTION_POINT,,4,,0,0,215,
segment_planner_bundle,2,GRIP_ACTION_POINT,,5,,0,0,215,
segment_planner_bundle,2,RELEASE_POINT,,0,,385,105,185,
segment_planner_bundle,2,RELEASE_POINT,,1,,385,165,185,
segment_planner_bundle,2,RELEASE_POINT,,2,,385,225,185,
segment_planner_bundle,2,RELEASE_POINT,,3,,385,285,185,
segment_planner_bundle,2,RELEASE_POINT,,4,,385,345,185,
segment_planner_bundle,2,RELEASE_POINT,,5,,385,405,185,
segment_planner_bundle,2,RELEASE_ACTION_POINT,,0,,385,105,210,
segment_planner_bundle,2,RELEASE_ACTION_POINT,,1,,385,165,210,
segment_planner_bundle,2,RELEASE_ACTION_POINT,,2,,385,225,210,
segment_planner_bundle,2,RELEASE_ACTION_POINT,,3,,385,285,210,
segment_planner_bundle,2,RELEASE_ACTION_POINT,,4,,385,345,210,
segment_planner_bundle,2,RELEASE_ACTION_POINT,,5,,385,405,210,
segment_planner_bundle,2,PLACED_BOTTLE,,0,,0,0,215,
segment_planner_bundle,2,PLACED_BOTTLE,,1,,385,105,210,
segment_planner_bundle,2,PLACED_BOTTLE,,2,,385,165,210,
segment_planner_bundle,2,PLACED_BOTTLE,,3,,385,225,210,
segment_planner_bundle,2,PLACED_BOTTLE,,4,,385,285,210,
